speaker,party,night,category,notes
Kristi Noem,Republican,3,Governor,Governor - South Dakota
Dan Crenshaw,Republican,3,Congress,Representative - Texas
Elise Stefanik,Republican,3,Congress,Representative - New York
Lee Zeldin,Republican,3,Congress,Representative - New York
Richard Grenell,Republican,3,Official,Former Acting DNI
Kellyanne Conway,Republican,3,Official,White House Counselor
Keith Kellogg,Republican,3,Official,National Security Advisor to VP
Jack Brewer,Republican,3,Citizen,Former NFL player
Sister Dede Byrne,Republican,3,Faith,
Madison Cawthorn,Republican,3,Candidate,
Scott Dane,Republican,3,Business,
Clarence Henderson,Republican,3,Citizen,Civil rights activist
Ryan Holets,Republican,3,Citizen,Police officer
Michael McHale,Republican,3,Labor,Police union president
Burgess Owens,Republican,3,Candidate,Former NFL player
Lara Trump,Republican,3,Family,President's daughter-in-law
Kayleigh McEnany,Republican,3,Official,White House Press Secretary
Donald Trump,Republican,4,Headliner,President
Ben Carson,Republican,4,Cabinet,HUD Secretary
Mitch McConnell,Republican,4,Senator,Senate Majority Leader - Kentucky
Tom Cotton,Republican,4,Senator,Senator - Arkansas
Kevin McCarthy,Republican,4,Congress,House Minority Leader - California
Jeff Van Drew,Republican,4,Congress,Representative - New Jersey
Ivanka Trump,Republican,4,Family,President's daughter
Ja'Ron Smith,Republican,4,Official,White House official
Ann Dorn,Republican,4,Citizen,Widow of slain officer
Debbie Flood,Republican,4,Citizen,
Rudy Giuliani,Republican,4,Official,Former NYC Mayor
Franklin Graham,Republican,4,Faith,Evangelist
Alice Johnson,Republican,4,Citizen,Criminal justice reform advocate
Wade Mayfield,Republican,4,Business,
Carl Mueller,Republican,4,Citizen,Parent of ISIS victim
Marsha Mueller,Republican,4,Citizen,Parent of ISIS victim
Dana White,Republican,4,Business,UFC President
