alias,canonical,party,notes
Speaker,EXCLUDE,Both,Generic placeholder
Intro,EXCLUDE,Both,Not a speaker
Group,EXCLUDE,Both,Not a speaker
Cameraman,EXCLUDE,Both,Not a speaker
# 2024 CNN-specific fixes
First Lady Jill Biden,Jill Biden,Democratic,Title prefix
Sen. J.D. Vance,J.D. Vance,Republican,Title prefix
Rep. Elise Stefanik,Elise Stefanik,Republican,Title prefix
Lucy Mcbath,Lucy McBath,Democratic,Capitalization fix
Melody Mcfadden,Melody McFadden,Democratic,Capitalization fix
Johnson-Batiste,Jon Batiste,Democratic,Hyphen artifact - performer at DNC Night 1
Gordon-Booth,Pamela Gordon-Booth,Democratic,Illinois State Senator
Corporal Humberto Sanchez'S Mother,Marcela Sanchez,Republican,Possessive artifact
Hamas Hostage Omer Neutra'S Mother,Ronen Neutra,Republican,Possessive artifact
Anderson,EXCLUDE,Republican,CNN anchor - not a convention speech
Singleton,EXCLUDE,Republican,CNN panel segment - not a convention speech
Nelson,EXCLUDE,Democratic,CNN anchor - not a convention speech
Briseno,EXCLUDE,Republican,Parsing artifact - bleeds into Lopez row
Mccollum,EXCLUDE,Republican,Parsing artifact - bleeds into Lopez row
Former President Of The United States,EXCLUDE,Republican,Role label not a speaker
Congressional Candidate Of Florida,EXCLUDE,Republican,Role label not a speaker
Samaritan'S Purse,EXCLUDE,Republican,Organization not a speaker
Barbuto,UNKNOWN,Democratic,Real speech - insufficient context to identify
Chenault,UNKNOWN,Democratic,Real speech - insufficient context to identify
Fitts,UNKNOWN,Democratic,Real speech - insufficient context to identify
Matthews,UNKNOWN,Democratic,Real speech - insufficient context to identify
Hillary Rodham Clinton,Hillary Clinton,Democratic,Full name variant
