speaker,party,year,night,timestamp,speech,word_count,source,source_file,replaced_from_rev,replaced_from_cnn,appended_from_missing
Jaime Harrison,Democratic,2024,1,00:44:11,"Our first order of business is adopting an up-to-date convention agenda. When the convention rules committee met, everyone was working on updating plans based on significant changes that had just occurred. When the committee approved an agenda, it was a work in progress that members knew would need to be revised accordingly. We now have an agenda for the next four days. The agenda is included in The Standing Committee Report booklet emailed to each convention participant. In addition to fantastic speakers and performers, tonight's agenda provides for adopting the up-to-date convention agenda, hearing the credentials committee report, hearing the rules committee report, and considering a resolution as recommended by the committee. Hearing the platform report, and considering our national platform as recommended by the platform committee, and holding a conservatory and ceremonial vote for our vice presidential nominee. Tuesday includes a ceremonial role call for the presidential nominee. Wednesday, we will hear ceremonial nominating speeches for our vice presidential nominee, and Governor Walz will make his acceptance speech. And on thursday, my friends, we will hear ceremonial nominating speech for our presidential nominee, and Vice President Harris will make her acceptance speech. So now, delegates, the chair will entertain a motion to approve the updated agenda. Is there a second? All in favor of >> all in favor of consent agenda, say aye. Aye. All in favor of -- the ayes have it.",234,CSPAN,https://www.c-span.org/program/campaign-2024/democratic-national-convention-day-1/647458,0,0,0
Marcia Fudge,Democratic,2024,1,00:46:55,"Greetings, my friends. It is an honor to have served as cochair along my friend, Jim Roosevelt. Pursuant to the call, the credentials committee met and adopted a resolution to credential the delegates and alternates to the 2024 resolution. I'm pleased to report that there were no credential issues to be decided by the committee. Their work allowed us to nominate two champions for democracy and freedom. Vice President Harris and Governor Walz.",73,CSPAN,https://www.c-span.org/program/campaign-2024/democratic-national-convention-day-1/647458,0,0,0
James Roosevelt Junior,Democratic,2024,1,00:47:42,"Our delegate selection process is designed to ensure every voice is heard, and every vision is heard, and our delegates accurately represent their electorates. Diversity is our party's strength, and I am so proud to see the wonderful representation of our party and democracy here today. I am pleased to share that the credentials committee report was adopted and all delegates have been fully credentialed. In memory of Marvin Turner, we are going to have a great convention, and we are going to win. Thank you.",86,CSPAN,https://www.c-span.org/program/campaign-2024/democratic-national-convention-day-1/647458,0,0,0
Leah Daughtry,Democratic,2024,1,00:48:43,"Hello, Democrats. It was my honor to serve as cochair of the convention rules committee alongside my friend, Governor Tim Walz. Governor Walz is a little occupied this evening. But it's good to know that serving as cochair of the rules committee is a letter for promotion. -- ladder for promotion. The rules committee adopted the procedural rules of the convention on july 24. They are based on long-standing processes governing our convention, and ensure that we met all ballot access deadlines. The rules established the virtual nominating process for the parties nominees, and set the stage for in person votes at the convention to adopt our platform and resolutions recommended by the rules committee, as well as to cast celebratory votes on our nominees and hear the acceptance speeches. Under the rules committee authority, the rules committee is recommending for your approval one resolution contained in the committee's report, the resolution supports the current practice regarding automatic delegates as well as other reforms to make our party stronger. The cochairs are pleased to move the adoption of this resolution on behalf of the rules committee.",186,CSPAN,https://www.c-span.org/program/campaign-2024/democratic-national-convention-day-1/647458,0,0,0
Jaime Harrison,Democratic,2024,1,00:50:26,"Thank you, bishop daughtry. The rules committee has moved the approval of the resolution. Is there a second? We have a second. I will now call for a voice vote on approving the resolution as recommended by the rules committee. All those in favor of the committee's recommendations to approve the unity resolution say aye. Aye. All opposed say nay. I'm pleased to report with the majority of delegates voting in the affirmative, the resolution has been approved. My thanks to our rules committee cochairs and members for your effort to build a transparent and inclusive party. Thank you, madam chair.",101,CSPAN,https://www.c-span.org/program/campaign-2024/democratic-national-convention-day-1/647458,0,0,0
Mitch Landrieu,Democratic,2024,1,00:51:46,"Fellow delegates, it is my pleasure to join Cochair Romero to present the national platform as recommended for approval by the committee. Our platform is grounded in our Democratic values of hope, progress, and love of our country and make a strong statement about the historic work President Biden and Vice President Harris have accomplished hand in hand, and it presents a bold vision for our future. Kamala Harris will protect reproductive freedoms. Donald Trump will rip them away. Kamala Harris will lower costs for Americans, expand access to affordable health care, protect and strengthen social security and Medicare. Donald Trump will cut taxes for billionaires and big corporations, and he will pay for it by putting health care and social security on the chopping block. Kamala Harris will defend our democracy. Donald Trump will undermine it. The choice before us is clear and the stakes could not be higher.",150,CSPAN,https://www.c-span.org/program/campaign-2024/democratic-national-convention-day-1/647458,0,0,0
Regina Romero,Democratic,2024,1,00:52:41,"Buenas noches, democratas! Mayor Landrieu, it was a pleasure to serve as your cochair. I also want to recognize luisa terrel and the drafting committee for their work. This platform was passed by the platform committee on july 16, prior to their President Passing the torch in an act of love and patriotism. It is the product of a comprehensive process to engage with leaders from all corners of our winning coalition. Hundreds of submissions, hours upon hours of hearings and testimonies, countless conversations with community leaders and grassroots Democrats. All were essential to producing a forward-looking vision for our party that echoes the voices of all. Vice President Harris is now carrying the torch. And she and Governor Walz are committed to delivering results for the American people. Then, you have Donald Trump. His extreme agenda is working against everyday Americans. He's fighting for big oil, big pharma, big banks. But most of all, most of all, he is fighting for himself. This november, we need to keep Democrats in office and Elect Kamala Harris and Tim Walz so we can implement an agenda that works for everyone. Cuando luchamos, ganamos. We are pleased to move the adoption of the 2024 Democratic national platform.",205,CSPAN,https://www.c-span.org/program/campaign-2024/democratic-national-convention-day-1/647458,0,0,0
Jaime Harrison,Democratic,2024,1,00:55:12,"Thank you. The cochairs that move the approval of the national platform. Is there a second? We have a second. I will call for a voice vote to approve the platform as recommended by the platform committee. All those in favor of approving the platform, please say aye. All opposed, say no. I'm pleased to say for the record, the platform has been adopted. Once again, thank you to our platform committee cochairs and members as well as the platform drafting committee and the chair louisa terrel.",87,CSPAN,https://www.c-span.org/program/campaign-2024/democratic-national-convention-day-1/647458,0,0,0
Minyon Moore,Democratic,2024,1,00:56:22,"When Kamala Harris set out to find her Vice President, just one month ago, she was looking for someone who believes in our democracy. Who works hard for the American people. And has an endless supply of hope for our future. She found that in Vice President Tim Walz. Come on -- give it up. On august 6, The Democratic Party officially nominated Governor Walz as our vice-presidential candidate. While Governor Walz's nomination has already been sert fid, we couldn't miss the opportunity to celebrate this future Vice President's integrity, commitment, decency and service to our nation. The chair will entertain a motion to ceremonially confirm Governor Walz's selection as The Democratic Party's vice-presidential nominee. We have a motion. Is there a second? We have a second. We will now have a voice vote on the motion to ceremonially confirm our vice-presidential new mexico knee. -- nominee. All in favor of the motion please proudly say aye. All opposed. I'm proud to reaffirm Tim Walz as the nominee for Vice President. Yes. Yes, yes. U.s.a. Pursuant to our convention rules, Governor Walz has been invited to make and acceptance speech which he will deliver on wednesday, august 21. Thank you, my friends. Delegates, please welcome to the stage co-chair Peggy flanagan to resume chairing our convention",216,CSPAN,https://www.c-span.org/program/campaign-2024/democratic-national-convention-day-1/647458,0,0,0
Peggy Flanagan,Democratic,2024,1,00:59:10,"Thank you. Thank you. Thank you. Good evening, and welcome to the first night of The Democratic National Convention. I am Peggy Flanagan, Lieutenant Governor Of Minnesota, and I'm thrilled to be here in Chicago with Democrats from across the country to rally around Kamala Harris and Tim Walz and their vision for America. It's been eight years since we last came together as a party, and I can feel the excitement in this arena. It's filled with energy and with joy. Our theme tonight is “for the people.” we'll hear from union leaders, civil rights advocates, and our fellow citizens. And we'll hear from our president, Joe Biden, who has been a champion for the people his entire life. My name in the ojibwe language is — or in english, “speaks with a clear and loud voice, woman.” I'm a member of The White Earth Nation, and my family is the Wolf clan. And the role of our clan is to ensure that we never leave anyone behind. That's why I am supporting Kamala Harris and Tim Walz to be the next President And Vice President Of The United States. For almost six years, I've worked side-by-side with Governor Walz. I've seen how hard he's worked for Minnesota to be the best place for kids to grow up. He does it all with a big heart, a buffalo plaid jacket, and a bottomless bag of snacks — nutter butters, cheese curds, and diet dew. Every time we meet, he brings something for me, because he's always got my back. When he's Vice President, he'll always have yours. He and Kamala Harris have spent their lives fighting for you — for your family, for your future. So whether you're a lifelong Democrat or just tuning in, thank you for being part of this evening. Four years ago, the COVID pandemic upended our lives. My brother Ron was the second person to die of COVID in the state of Tennessee. We couldn't see him, we couldn't have a memorial, and millions of American families went through the same thing. Our communities were suffering. Our economy was struggling. And Donald Trump was playing games. Our country was brought to the brink by his failure to respond. But the Biden-Harris administration stepped in with quick and decisive action. They contained the virus, created millions of jobs, and invested in our nation's future. Under their leadership, America began to heal.",406,CSPAN,https://www.c-span.org/program/campaign-2024/democratic-national-convention-day-1/647458,0,0,0
Lauren Underwood,Democratic,2024,1,01:05:06,"COVID was the worst public health crisis in a century. Donald Trump failed us. But Joe Biden and Kamala Harris got it under control. Donald Trump said, it is what it is. Joe Biden and Kamala Harris said, help is on the way. Democrats in Congress tried to lower the cost of health care. Donald Trump tried to take our health care away. We tried to expand social security and Medicare. Donald Trump tried to cut them. Year after year after year. He took the COVID crisis and turned it into a catastrophe. We can never let him be our President Again. As a registered nurse, I care deeply about making health care more affordable. As someone with a pre-existing condition I'm determined to protect the people who are most at risk. And as the youngest black woman ever elected to Congress -- I am painfully aware that black women, especially pregnant women and new moms, were more likely to die from COVID. I wrote the Momnibus to protect those women and address the maternal health crisis. And that bill was introduced and championed by Senator Kamala Harris. Because she protects the people who are most vulnerable. She's done it for her whole career. As Vice President She and President Biden passed my legislation to make health care more affordable. And now four out of five Americans can get covered through the affordable care act for $10 or less per month. And under the Biden-Harris administration, the number of uninsured Americans hit an all-time low. Four years ago, it was not safe to hold a convention like this. But tonight, thousands have gathered in this arena, in my home state of Illinois, to make sure Kamala Harris is the next President Of The United States. We have come so far these past four years and we're not going back. Thank you.",311,CSPAN,https://www.c-span.org/program/campaign-2024/democratic-national-convention-day-1/647458,0,0,0
Robert Garcia,Democratic,2024,1,01:09:48,"Thank you. Thank you. We all — we all remember — we all remember the world in 2020. Where we were. And for some of us, who we lost. Now, I was in my second term as Mayor Of Long Beach, California. And my mom was a health care worker. Like many of you, I watched in terror and horror as the COVID pandemic consumed our lives. As mayor, I fought for more hospital beds, for more tests, and to make masks more accessible. What we needed at that moment was national leadership. But instead, we got Donald Trump. While schools closed and dead bodies filled morgues, Donald Trump downplayed the virus. He told us to inject bleach into our bodies. He peddled conspiracy theories. Across the country, we lost hundreds of thousands of Americans, and our economy collapsed. Now, that summer of 2020, my mom and my stepfather both died during the COVID pandemic, and I miss them every single day. So when Donald Trump and his MAGA extremists, like Marjorie Taylor Greene, downplay the horror of the pandemic, it should make us all furious. Now, I will never forget when Kamala Harris called me after my parents died. She told me about her own story — about losing her own mother — and that she was praying for me at that very moment. Now, we all know that later that year, Joe Biden and Kamala Harris were elected President And Vice President — and what a difference they made together. They got people vaccinated. They got the virus under control. They safely reopened our schools. And they passed the American rescue plan — a historic economic package that helped small businesses and created jobs all across the country. Thank you, Joe Biden and Kamala Harris. Now, I am a proud immigrant who came to The United States as a young child. We grew up poor. English was our second language. And we often, like many immigrant families, struggled to get by. But my mom — she moved here to The United States because she believed in the American dream. I'll never forget the day that I became a United States citizen. I raised my right hand, and I pledged an oath to protect and to love this country. It was the proudest day of my life. My mom — my mom taught me to love this country. She taught me that real American patriotism is not about screaming and yelling “america first.” real American patriotism is loving your country so much that you want to help the people in your country. That is American patriotism. And we all know that Kamala Harris understands this as well. Kamala Harris is ready to lead this country. We can all remember 2020. We can all remember the horrors of Donald Trump. But let's remember, most importantly, tonight and every single day this week, that we are not going back. Thank you.",490,CSPAN,https://www.c-span.org/program/campaign-2024/democratic-national-convention-day-1/647458,0,0,0
Peggy Flanagan,Democratic,2024,1,01:16:33,"Donald Trump down played COVID while Americans were living in fear. He lied about creating jobs while our communities were fighting to survive. But the Biden-Harris administration stepped up. They actually took decisive action to create jobs. Support small businesses. And rebuild a stronger and more resilient economy. Kamala Harris is a leader we can trust, even in our most challenging moments. Especially in those moments. Donald Trump ditters. Kamala Harris delivers. Donald Trump abandons vulnerable people, Kamala Harris protects them. Donald Trump bullies scientists, Kamala Harris believes them. Our next two speakers will tell us why that's so important. Please welcome ryan and sandra.",105,CSPAN,https://www.c-span.org/program/campaign-2024/democratic-national-convention-day-1/647458,0,0,0
Dick Durbin,Democratic,2024,1,01:22:47,"I’ve known Brian and Sandra for years. In fact, Sandra was my personal press secretary. You will not find a more courageous couple. Let’s give Brian and Sandra another round of In every election campaign, we Democrats talk about jobs. Now, forget for a moment Donald Trump’s wild claims. He lost millions of jobs in America. He promised to bring back manufacturing jobs, but he failed. He promised to deliver infrastructure, but he failed. His record was defined by failure. To put it another way, Donald Trump is like a bad boss. You want time off to take care of your sick parents? Ask Donald Trump. Denied. In Donald Trump’s America, there is no paid family leave. Want to have a child but need IVF? Too bad, that’s shut down too. Want a pay raise? Too bad, the boss just gave himself one so there’s nothing left for you. Donald Trump reminds us of a boss we’ve all had, the guy who thinks he’s a very stable genius, but is driving the company into the ground. Now, get this. Donald Trump did make history. Let’s give him credit. He is one of only two presidents in the history of the United States to leave office with fewer Americans working than when he started. Now, he wants a chance to make America unemployed again. On the other hand, let’s take a look at the record of Joe Biden and Kamala Harris. They recovered all those millions of jobs that Trump watched slip away. They added over 6 million jobs on top of that. 16 million jobs in total. 16 million. Today, more roads are getting fixed, more factories are being built, more Americans are working construction, and more auto workers are making cars than on any month when Trump was president. And we know behind every job is a person or community forever changed. Data centers in Wisconsin, semiconductors in Pennsylvania These investments mean strong economy, growing public schools and well-funded, well-staffed first responders. These investments mean hope. That’s what Kamala Harris and Tim Walz are fighting for. They’ll fight for the places that are too often left behind, fight to change lives and uplift communities, fight to bring back American manufacturing. My friend, Ed Smith, a giant of the Illinois laborers, he’s a great fellow. We lost him this year, but Ed Smith told us there’s joy in this battle. When we win, we help people buy their first homes, send their kids to college, and retire with dignity. Incidentally, that happens to be my family’s story too. My mom and dad worked for the railroad because we were a strong union family. We will not just to get by, but to get ahead. That’s the American economy Kamala Harris and Tim Walz are fighting for. Let’s join that fight and build it together.",474,REV,dick_durbin_speaks_at_2024_democratic_national_convention.txt,1,0,0
Joyce Beatty,Democratic,2024,1,01:28:31,"Good evening. I'm Joyce Beatty. And I'm proud to represent Ohio in Congress. I was born in the buckeye state. And I've never left. Now j.d. Vance likes to talk about how he is from Ohio. But as soon as he could, he ran away to yale and silicon valley, cozying up with billionaires while trashing our community. J.d. Has been our Senator For 18 months. And what has he done for hardworking Americans? Nothing. He's been busy writing the foreword to the book from the project 2025 guy. While j.d. And Donald Trump have been sharing conspiracy theories from the darkest corners of our internet, Kamala Harris and Joe Biden have been busy expanding access to the internet. While the other guys have been criticizing women without children, Joe and Kamala have been expanding the child tax credit and, let me just tell you, cutting the poverty rate for our children. Kamala and Joe Biden have also been reducing the price of health care for our seniors. And yes, securing a cap of $35 on insulin. And as j.d. And Trump want to take us back to the past, Kamala and Joe have been bringing the jobs of the future to America today with the chips act, a $280 billion investment. And that's not just a big number — it means new semiconductor plants and thousands of good-paying jobs. You see, I worked with Kamala to pass it, and I saw her leadership style up close — a rare combination of brilliance, legal expertise, and patience. You see, it's simple. J.d. And Trump like to talk about states like Ohio, but Kamala and Joe actually get stuff done for us. And so does our next Vice President And my good friend Governor Tim Walz. America, are you ready to build on our progress? Are you ready to turn out for leaders who know that action speaks louder than words? Are you ready to vote for Kamala Harris? Are you ready to put people over politics, once and for all? Well, the era of joy and freedom is upon us. And now it is on us to go seize it. Thank you, God bless you.",365,CSPAN,https://www.c-span.org/program/campaign-2024/democratic-national-convention-day-1/647458,0,0,0
Lee Saunders,Democratic,2024,1,01:33:58,"Yes! Union yes! I'm Lee Saunders, President Of ascfme a union of 1.4 million public service workers in health care, corrections, sanitation and more. Four years ago, we faced a pandemic and a recession. With a President Who didn't care one bit but working people were -- what working people were going through. Enter Joe Biden and Kamala Harris. Within weeks, they passed the American rescue plan, pulling the economy back from the brink and putting us back to work. They were guided by a basic principle, more freedom for working people. Including the freedom to join a union. So this november, this november, we're moving forward with Kamala Harris as our president.",113,CSPAN,https://www.c-span.org/program/campaign-2024/democratic-national-convention-day-1/647458,0,0,0
